SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Hardware/Network Installation Specialist III,Bachelor's,8,Hour,$84.16 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Hardware/Network Installation Specialist II,Bachelor's,5,Hour,$72.80 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Hardware/Network Installation Specialist I,Bachelor's,2,Hour,$53.63 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,**Technical Writer,Bachelor's,3,Hour,$70.13 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,**Data Entry Clerk II,,3,Hour,$41.53 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,GIS Analyst II,Associates,7,Hour,$69.09 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,GIS Analyst I,Associates,5,Hour,$53.76 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,System Administrator,Bachelor's,4,Hour,$60.09 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,**Administrative Support,,1,Hour,$37.12 ,GS-23F-006AA,"ACCURATE CONCEPTIONS, L.L.C.",S,IT Schedule 70,Customer,4,10/17/12,10/16/17
132-51,Sr. Developer - Architect,Masters,12 years,Hour,$88.87 ,GS-35F-137BA,NEO-MATRIX TECHNOLOGIES INC.,s,IT Schedule 70,customer,2,1/4/14,1/5/19
132-51,Senior Network Engineer,Bachelor’s,8,Hour,$213.10 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Network Engineer,Bachelor’s,3,Hour,$175.21 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Senior Systems Engineer,Bachelor’s,8,Hour,$189.42 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Systems Engineer,Bachelor’s,3,Hour,$175.21 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Technician,Associate's,2,Hour,$137.33 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Project Manager,Bachelor’s,5,Hour,$165.74 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Hardware/Software/Network Specialist,Associate's,2,Hour,$189.42 ,GS-35F-178BA,"CONTEMPORARY COMPUTER SERVICES, INC.",S,IT Schedule 70,Customer,2,2/1/14,2/2/19
132-51,Program Manager,N/A,N/A,Hour,$191.44 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Project Manger,N/A,N/A,Hour,$84.23 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Communications Engineer,N/A,N/A,Hour,$55.52 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Junior Communication Engineer,N/A,N/A,Hour,$50.73 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Senior SME,N/A,N/A,Hour,$94.71 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,SME,N/A,N/A,Hour,$80.50 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Administrative Specialist,N/A,N/A,Hour,$42.62 ,GS-35F-196BA,KA'ALA SYSTEMS TECHNOLOGY,S,IT Schedule 70,Customer,2,2/5/14,2/4/19
132-51,Project Director,Associate's,12 Years,Hour,$144.14 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Project Manager,Associate's,7 Years,Hour,$124.30 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Project IT Lead/Technical Architect,Associate's,7 Years,Hour,$118.04 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Senior Software Developer,Associate's,7 Years,Hour,$111.23 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Mid Software Developer,Associate's,3 Years,Hour,$99.49 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Systems Analyst,Associate's,7 Years,Hour,$107.28 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Business Analyst,Associate's,7 Years,Hour,$108.10 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,QA Manager,Associate's,7 Years,Hour,$108.39 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. QA Engineer,High School Diploma,7 Years,Hour,$97.51 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Mid QA Specialist,High School Diploma,3 Years,Hour,$91.92 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Network Engineer,Associate's,7 Years,Hour,$114.92 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Security Engineer,Associate's,7 Years,Hour,$132.29 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Technical Writer,Associate's,7 Years,Hour,$88.77 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Sr. Service Desk Specialist,High School Diploma,5 Years,Hour,$85.23 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,SME,Associate's,8 Years,Hour,$193.78 ,GS-35F-221BA,MINDCUBED L.L.C.,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Program Manager,Bachelors Degree,7 Years,Hour,$217.15 ,GS-35F-235BA,SIERRA 7,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Project Manager,Bachelors Degree,4 Years,Hour,$197.23 ,GS-35F-235BA,SIERRA 7,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Project Lead/Technical Lead,Bachelors Degree,3 Years,Hour,$171.95 ,GS-35F-235BA,SIERRA 7,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Senior Consultant,Bachelors Degree,4 Years,Hour,$175.31 ,GS-35F-235BA,SIERRA 7,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Systems Engineer,Bachelors Degree,3 Years,Hour,$127.59 ,GS-35F-235BA,SIERRA 7,S,IT Schedule 70,Customer,2,2/24/14,2/23/19
132-51,Project Manager,Masters,5,Hour,$160.61 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,IT Consultant III,Masters,5,Hour,$139.03 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,IT Consultant II,Masters,4,Hour,$126.34 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,IT Consultant I,Bachelors,3,Hour,$113.70 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,IT Analyst II,Bachelors,2,Hour,$108.40 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,IT Analyst I,Bachelors,1,Hour,$82.25 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,Senior Systems Engineer / Database Administrator,Masters,7,Hour,$133.19 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,Subject Matter Expert,Masters,8,Hour,$176.45 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,Business Analytics Developer II,Masters,5,Hour,$153.91 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,Business Analytics Developer I,Bachelors,3,Hour,$132.20 ,GS-35F-239BA,"QUADRINT, INC.",S,IT Schedule 70,Customer,2,2/25/14,2/25/19
132-51,Principal Consultant,B.A. or B.S.,8,Hour,$128.90 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Senior Consultant,B.A. or B.S.,8,Hour,$151.14 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Sr. Information Security Consultant,B.A. or B.S.,8,Hour,$151.14 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Sr. Systems Engineer,B.A. or B.S.,8,Hour,$151.14 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Systems Engineer,B.A. or B.S.,6,Hour,$124.43 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Sr. Computer Systems Analyst,B.A. or B.S.,8,Hour,$115.87 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Senior Computer Specialist,B.A. or B.S.,8,Hour,$115.87 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Senior Training Specialist / Instructor,B.A. or B.S.,7,Hour,$111.95 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Senior Computer System Security Specialist,B.A. or B.S.,8,Hour,$112.75 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Information Technology Senior Consultant,B.A. or B.S.,5,Hour,$112.75 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Data Warehouse Specialist,B.A. or B.S.,10,Hour,$96.96 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Database Administrator,B.A. or B.S.,6,Hour,$106.66 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Computer Specialist,B.A. or B.S.,5,Hour,$82.01 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Application Developer,B.A. or B.S.,8,Hour,$94.71 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Computer Security Systems Specialist,B.A. or B.S.,5,Hour,$90.94 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Network Administrator,B.A. or B.S.,5,Hour,$86.75 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Principal Technical Specialist,B.A. or B.S.,4,Hour,$80.61 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Junior Computer Specialist,B.A. or B.S.,3,Hour,$65.69 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Analyst Level 3,B.A. or B.S,2,Hour,$60.45 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Analyst Level 2,A.A. or A.S.,2,Hour,$50.38 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Analyst Level 1,A.A. or A.S.,1,Hour,$42.27 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,IAM Senior Consultant,M.S. or B.S.,8,Hour,$149.37 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/11/14,3/12/19
132-51,Subject Matter Expert I,B.A. or B.S.,10,Hour,$183.19 ,GS-35F-267BA,"AVID SYSTEMS, LLC",s,IT Schedule 70,Customer,2,3/15/14,3/16/19
132-51,Project Manager II,BA,10,Hour,$115.00 ,GS-35F-300BA,IVORY CLOUD LLC,s,IT Schedule 70,customer,2,3/30/14,3/31/19
132-51,System Tester II,BA,10,Hour,$92.00 ,GS-35F-300BA,IVORY CLOUD LLC,s,IT Schedule 70,customer,2,3/30/14,3/31/19
132-51,Technical Architect II,BA,10,Hour,$100.00 ,GS-35F-300BA,IVORY CLOUD LLC,s,IT Schedule 70,customer,2,3/30/14,3/31/19
132-51,Technical Analyst II,BA,10,Hour,$160.00 ,GS-35F-300BA,IVORY CLOUD LLC,s,IT Schedule 70,customer,2,3/30/14,3/31/19
132-51,Associate Technical Director (E7),Bachelors,14 years,Hour,$226.78 ,GS-35F-306BA,"AGILE COMMUNICATIONS, INC.",S,IT Schedule 70,Customer,2,4/24//2014,4/2/19
132-51,Lead MTS (E4),Bachelors,7 years,Hour,$144.80 ,GS-35F-306BA,"AGILE COMMUNICATIONS, INC.",S,IT Schedule 70,Customer,2,4/24//2014,4/2/19
132-51,Principal Engineer (E5),Bachelors,10 years,Hour,$167.79 ,GS-35F-306BA,"AGILE COMMUNICATIONS, INC.",S,IT Schedule 70,Customer,2,4/24//2014,4/2/19
132-51,Senior MTS (E3),Bachelors,4 years,Hour,$138.18 ,GS-35F-306BA,"AGILE COMMUNICATIONS, INC.",S,IT Schedule 70,Customer,2,4/24//2014,4/2/19
132-51,Senior Principal Engineer (E6),Bachelors,12 years,Hour,$190.90 ,GS-35F-306BA,"AGILE COMMUNICATIONS, INC.",S,IT Schedule 70,Customer,2,4/24//2014,4/2/19
132-51,Principal Architect,Bachelor's,10,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Principal Program Manager,Bachelor's,10,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Project Manager,Bachelor's,5,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,User Experience Designer,Bachelor's,3,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Senior Software Developer,Bachelor's,10,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Senior Geospatial Technologist/DBA,Bachelor's,10,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Software Developer,Bachelor's,5,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Junior Software Developer,Associate's,0,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Geospatial Analyst,Bachelor's,0,Hour,N/A,GS-35F-322BA,SPATIAL DEVELOPMENT INTERNATIONAL,S,IT Schedule 70,N/A,2,N/A,4/10/19
132-51,Project Managerat Customer's Site,BS,10,Hour,$154.16 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expertat Customer's Site,BS,8,Hour,$138.22 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expert I (senior)at Customer's Site,BS,10,Hour,$157.01 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expert II (Principal) at Customer's Site,BS,12,Hour,$180.80 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Systems Engineerat Customer's Site,BS,6,Hour,$93.26 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Systems Engineerat Customer's Site,MS,8,Hour,$104.67 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Principal Systems Engineer at Customer's Site,BS,10,Hour,$123.70 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Systems Architect at Customer's Site,BS,12,Hour,$129.77 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Functional Analystat Customer's Site,BS,5,Hour,$77.11 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Functional Analystat Customer's Site,BS,8,Hour,$90.40 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Applications Engineerat Customer's Site,BS,5,Hour,$80.88 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Applications Engineerat Customer's Site,BS,7,Hour,$95.16 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Quality Assurance Analystat Customer's Site,BS,0,Hour,$63.75 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Systems Analystat Customer's Site,HS,3,Hour,$71.37 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Systems Analyst at Customer's Site,BS,6,Hour,$85.64 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Database Management Specialist at Customer's Site,BS,6,Hour,$89.92 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Sr. Database Management Specialistat Customer's Site,BS,8,Hour,$105.62 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,IT Sr. Consultantat Customer's Site,BS,13,Hour,$211.13 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Project Managerat Halvik's Site,BS,10,Hour,$177.28 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expertat Halvik's Site,BS,8,Hour,$158.95 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expert I (senior)at Halvik's Site,BS,10,Hour,$180.56 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
132-51,Subject Matter Expert II (Principal) at Halvik's Site,BS,12,Hour,$207.92 ,GS-35F-328BA,HALVIK CORP,s,IT Schedule 70,Both,2,4/14/14,4/15/19
